branch	metric	n	remission	nonremission	mean_remission	mean_nonremission	estimate	se	lower	upper	p_OLS	se_HC3	lower_HC3	upper_HC3	p_HC3	p_exact_permutation	df	permutation_assignments	BH_two_main
author_annotated::author_both::threshold20	within_state_contribution	14	4	10	0.5992140643958332	-0.4994813587573523	1.0986954231531856	0.6500845269716958	-0.31771708458089676	2.515107930887268	0.11680046018401259	0.5911460661871109	-0.18930121006260414	2.3866920563689753	0.08777582883649455	0.11788211788211789	12	1001	
author_annotated::author_both::threshold20	total_epi_linear_change	14	4	10	0.5179021515692778	-0.5058158737028289	1.0237180252721068	0.6886915645105217	-0.47681199116701367	2.5242480417112274	0.16295021350319444	0.6377016129477698	-0.36571443051797936	2.4131504810621927	0.1344011133877106	0.16083916083916083	12	1001	
author_annotated::author_both::threshold50	delta_ct_logit_epi	17	4	13	-0.10492798951794588	0.03875878104265618	-0.14368677056060206	0.3627706424792342	-0.9169140916153937	0.6295405504941896	0.6976218478998855	0.46022917170921535	-1.124642029453561	0.837268488332357	0.7591811815940084	0.6899159663865546	15	2380	
author_annotated::author_both::threshold50	delta_ct_logit_all	17	4	13	1.2411217502379979	-0.1861691900364422	1.42729094027444	0.5334118657647559	0.2903504613939589	2.564231419154921	0.017277282412437114	0.3389392387402444	0.7048590538891697	2.14972282665971	0.0007558438465014848	0.015126050420168067	15	2380	
author_annotated::author_both::threshold50	delta_ct_state_score	11	3	8	1.9676978390149298	-0.48021834830721505	2.4479161873221447	0.8260850411222616	0.5791819944669712	4.316650380177318	0.01587487768285999	1.0892740422570035	-0.016192889619690565	4.9120252642639795	0.05122945771080879	0.01818181818181818	9	165	
author_annotated::author_both::threshold50	delta_epi_score	17	4	13	1.4290269181538298	-0.1243449923586354	1.5533719105124653	0.951687588170379	-0.4751021668081683	3.581845987833099	0.12344216493247884	0.6344901174284221	0.2009882380574861	2.905755582967444	0.027136041140338244	0.12563025210084033	15	2380	
author_annotated::author_both::threshold50	composition_contribution	11	3	8	0.03681803351560597	-0.006894554960152913	0.04371258847575888	0.3799198541082756	-0.8157258307845258	0.9031510077360435	0.9109257532364077	0.26243483819129476	-0.5499562605064665	0.6373814374579843	0.8713940248692432	0.9090909090909091	9	165	
author_annotated::author_both::threshold50	within_state_contribution	11	3	8	0.469007736338612	-0.37868855587872824	0.8476962922173402	0.7947922808199421	-0.9502487587762142	2.6456413432108947	0.31394299062178804	0.776498728997792	-0.9088658694887172	2.6042584539233977	0.3033302341423773	0.3090909090909091	9	165	
author_annotated::author_both::threshold50	total_epi_linear_change	11	3	8	0.5058257698542179	-0.38558311083888086	0.8914088806930988	0.8269178258667146	-0.9792092021368083	2.762026963523006	0.3090818342474206	0.8673343177978493	-1.0706376588540008	2.853455420240198	0.33089263680174175	0.32727272727272727	9	165	
author_annotated::v31_only::threshold10	delta_ct_logit_epi	15	6	9	-0.13880709601311528	0.08179922487234031	-0.2206063208854556	0.2758416603216776	-0.816525997991064	0.3753133562201527	0.4382217100704669	0.3095355269345655	-0.889317171336585	0.4481045295656738	0.4886264753729757	0.43396603396603395	13	5005	
