set	contrast	estimate	se	lower	upper	p
HALLMARK_ESTROGEN_RESPONSE_EARLY	pooled_response_arm_adjusted	0.0250584267595609	0.0284146326767988	-0.0317416146283258	0.0818584681474475	0.381245491252437
HALLMARK_ESTROGEN_RESPONSE_EARLY	arm_response_interaction	0.0354524753829002	0.0604542658217048	-0.0854333003677341	0.156338251133535	0.559747427081577
HALLMARK_ESTROGEN_RESPONSE_LATE	Placebo_within_change	0.0593920445849208	0.0268139090554745	0.00378340074954432	0.115000688420297	0.0374235744282053
HALLMARK_ESTROGEN_RESPONSE_LATE	Placebo_response_difference	-0.0188666324293228	0.0574761572979378	-0.13839484488786	0.100661580029215	0.745972038572343
HALLMARK_ESTROGEN_RESPONSE_LATE	golimumab_within_change	-0.00742951880476055	0.0180873238173907	-0.0439576102996211	0.0290985726901	0.683388689697297
HALLMARK_ESTROGEN_RESPONSE_LATE	golimumab_response_difference	0.0249421396389698	0.0367928209522289	-0.0494189253275251	0.0993032046054646	0.501732983437343
HALLMARK_ESTROGEN_RESPONSE_LATE	GLM_minus_Placebo	-0.0668215633896814	0.032344041208705	-0.132098231104802	-0.00154489567456077	0.0450487389867655
HALLMARK_ESTROGEN_RESPONSE_LATE	pooled_response_arm_adjusted	0.0101988028852174	0.031030905206972	-0.0518310927712823	0.0722286985417171	0.743515723657261
HALLMARK_ESTROGEN_RESPONSE_LATE	arm_response_interaction	0.0438087720682924	0.0659683893919581	-0.088103175223997	0.175720719360582	0.509136865463715
HALLMARK_FATTY_ACID_METABOLISM	Placebo_within_change	0.0802942155212716	0.0357726950434835	0.00610618670424729	0.154482244338296	0.0351814159977387
HALLMARK_FATTY_ACID_METABOLISM	Placebo_response_difference	0.00626064668458784	0.0768638221121019	-0.153586421938425	0.166107715307601	0.935854489674001
HALLMARK_FATTY_ACID_METABOLISM	golimumab_within_change	0.0171241280081925	0.0257099072827236	-0.0347980830955169	0.069046339111902	0.509108474645501
HALLMARK_FATTY_ACID_METABOLISM	golimumab_response_difference	0.0554624873805257	0.0518618880796158	-0.0493542983120041	0.160279273073056	0.291288675377874
HALLMARK_FATTY_ACID_METABOLISM	GLM_minus_Placebo	-0.0631700875130791	0.0440532069565919	-0.151938728606839	0.0255985535806807	0.158614097114684
HALLMARK_FATTY_ACID_METABOLISM	pooled_response_arm_adjusted	0.0389041756078543	0.0428187903648272	-0.0466893667252585	0.124497717940967	0.367091677847164
HALLMARK_FATTY_ACID_METABOLISM	arm_response_interaction	0.0492018406959378	0.0911391744391238	-0.133042202029502	0.231445883421378	0.59126320305098
HALLMARK_G2M_CHECKPOINT	Placebo_within_change	-0.0431475972416434	0.0283143724851342	-0.101868011773166	0.0155728172898792	0.141786523412677
HALLMARK_G2M_CHECKPOINT	Placebo_response_difference	-0.0577028027282611	0.0595308174230399	-0.181503914829171	0.0660983093726484	0.343431197974933
HALLMARK_G2M_CHECKPOINT	golimumab_within_change	-0.0409416513664803	0.0219362050471484	-0.0852427161951994	0.00335941346223883	0.0691495540678324
HALLMARK_G2M_CHECKPOINT	golimumab_response_difference	-0.0168373928929241	0.0447986928746891	-0.107378928579847	0.073704142793999	0.709017660028104
HALLMARK_G2M_CHECKPOINT	GLM_minus_Placebo	0.00220594587516316	0.0358176043461517	-0.0698413490824872	0.0742532408328136	0.95115069123999
HALLMARK_G2M_CHECKPOINT	pooled_response_arm_adjusted	-0.0305901750490472	0.0356233613838122	-0.101800259796274	0.0406199096981802	0.393807736980701
