Package	Version	LibPath	Built
maxstat	0.7-26	/usr/local/lib/R/site-library	4.3.3
mclust	6.1.2	/usr/local/lib/R/site-library	4.3.3
mcmc	0.9-8	/usr/local/lib/R/site-library	4.3.3
MCMCpack	1.7-1	/usr/local/lib/R/site-library	4.3.3
MCPcounter	1.2.0	/usr/local/lib/R/site-library	4.3.3
mediation	4.5.1	/usr/local/lib/R/site-library	4.3.3
memoise	2.0.1	/usr/local/lib/R/site-library	4.3.3
MendelianRandomization	0.10.0	/usr/local/lib/R/site-library	4.3.3
metadat	1.4-0	/usr/local/lib/R/site-library	4.3.3
metafor	4.8-0	/usr/local/lib/R/site-library	4.3.3
metapod	1.10.1	/usr/local/lib/R/site-library	4.3.3
methylumi	2.48.0	/usr/local/lib/R/site-library	4.3.3
mets	1.3.9	/usr/local/lib/R/site-library	4.3.3
microbenchmark	1.5.0	/usr/local/lib/R/site-library	4.3.3
mime	0.13	/usr/local/lib/R/site-library	4.3.3
minfi	1.48.0	/usr/local/lib/R/site-library	4.3.3
miniUI	0.1.2	/usr/local/lib/R/site-library	4.3.3
minpack.lm	1.2-4	/usr/local/lib/R/site-library	4.3.3
minqa	1.2.8	/usr/local/lib/R/site-library	4.3.3
miscTools	0.6-30	/usr/local/lib/R/site-library	4.3.3
missMethyl	1.36.0	/usr/local/lib/R/site-library	4.3.3
mitools	2.4	/usr/local/lib/R/site-library	4.3.3
