Package	Version	LibPath	Built
jsonlite	2.0.0	/usr/local/lib/R/site-library	4.3.3
jsonvalidate	1.5.0	/usr/local/lib/R/site-library	4.3.3
jstable	1.3.25	/usr/local/lib/R/site-library	4.3.3
kableExtra	1.4.0	/usr/local/lib/R/site-library	4.3.3
keep	1.0	/usr/local/lib/R/site-library	4.3.3
KEGGREST	1.42.0	/usr/local/lib/R/site-library	4.3.3
kernlab	0.9-33	/usr/local/lib/R/site-library	4.3.3
knitr	1.51	/usr/local/lib/R/site-library	4.3.3
kpmt	0.1.0	/usr/local/lib/R/site-library	4.3.3
labeling	0.4.3	/usr/local/lib/R/site-library	4.3.3
labelled	2.16.0	/usr/local/lib/R/site-library	4.3.3
lambda.r	1.2.4	/usr/local/lib/R/site-library	4.3.3
later	1.4.8	/usr/local/lib/R/site-library	4.3.3
latticeExtra	0.6-31	/usr/local/lib/R/site-library	4.3.3
lava	1.9.0	/usr/local/lib/R/site-library	4.3.3
LAVA	0.1.5	/usr/local/lib/R/site-library	4.3.3
lavaan	0.6-21	/usr/local/lib/R/site-library	4.3.3
lazyeval	0.2.3	/usr/local/lib/R/site-library	4.3.3
LDlinkR	1.4.0	/usr/local/lib/R/site-library	4.3.3
leidenbase	0.1.36	/usr/local/lib/R/site-library	4.3.3
lhs	1.2.1	/usr/local/lib/R/site-library	4.3.3
libcoin	1.0-12	/usr/local/lib/R/site-library	4.3.3
lifecycle	1.0.5	/usr/local/lib/R/site-library	4.3.3
limma	3.58.1	/usr/local/lib/R/site-library	4.3.3
limSolve	2.0.1	/usr/local/lib/R/site-library	4.3.3
listenv	0.10.1	/usr/local/lib/R/site-library	4.3.3
litedown	0.9	/usr/local/lib/R/site-library	4.3.3
lme4	2.0-1	/usr/local/lib/R/site-library	4.3.3
lmerTest	3.2-1	/usr/local/lib/R/site-library	4.3.3
lmtest	0.9-40	/usr/local/lib/R/site-library	4.3.3
locfdr	1.1-8	/usr/local/lib/R/site-library	4.3.3
locfit	1.5-9.12	/usr/local/lib/R/site-library	4.3.3
locuszoomr	0.3.8	/usr/local/lib/R/site-library	4.3.3
logger	0.4.1	/usr/local/lib/R/site-library	4.3.3
lpSolve	5.6.23	/usr/local/lib/R/site-library	4.3.3
lubridate	1.9.5	/usr/local/lib/R/site-library	4.3.3
lumi	2.54.0	/usr/local/lib/R/site-library	4.3.3
maftools	2.16.0	/usr/local/lib/R/site-library	4.3.3
magick	2.9.1	/usr/local/lib/R/site-library	4.3.3
magrittr	2.0.5	/usr/local/lib/R/site-library	4.3.3
mapproj	1.2.12	/usr/local/lib/R/site-library	4.3.3
maps	3.4.3	/usr/local/lib/R/site-library	4.3.3
markdown	2.0	/usr/local/lib/R/site-library	4.3.3
marray	1.80.0	/usr/local/lib/R/site-library	4.3.3
mathjaxr	2.0-0	/usr/local/lib/R/site-library	4.3.3
Matrix	1.6-5	/usr/local/lib/R/site-library	4.3.3
MatrixGenerics	1.14.0	/usr/local/lib/R/site-library	4.3.3
MatrixModels	0.5-4	/usr/local/lib/R/site-library	4.3.3
matrixsampling	2.0.0	/usr/local/lib/R/site-library	4.3.3
matrixStats	1.5.0	/usr/local/lib/R/site-library	4.3.3
maxLik	1.5-2.2	/usr/local/lib/R/site-library	4.3.3
