Package	Version	LibPath
irlba	2.3.7	/usr/local/lib/R/site-library
isoband	0.3.0	/usr/local/lib/R/site-library
isva	1.10	/usr/local/lib/R/site-library
iterators	1.0.14	/usr/local/lib/R/site-library
iterpc	0.4.2	/usr/local/lib/R/site-library
JADE	2.0-4	/usr/local/lib/R/site-library
jpeg	0.1-11	/usr/local/lib/R/site-library
jquerylib	0.1.4	/usr/local/lib/R/site-library
jsonlite	2.0.0	/usr/local/lib/R/site-library
jsonvalidate	1.5.0	/usr/local/lib/R/site-library
jstable	1.3.25	/usr/local/lib/R/site-library
kableExtra	1.4.0	/usr/local/lib/R/site-library
keep	1.0	/usr/local/lib/R/site-library
KEGGREST	1.42.0	/usr/local/lib/R/site-library
kernlab	0.9-33	/usr/local/lib/R/site-library
knitr	1.51	/usr/local/lib/R/site-library
kpmt	0.1.0	/usr/local/lib/R/site-library
labeling	0.4.3	/usr/local/lib/R/site-library
labelled	2.16.0	/usr/local/lib/R/site-library
lambda.r	1.2.4	/usr/local/lib/R/site-library
later	1.4.8	/usr/local/lib/R/site-library
latticeExtra	0.6-31	/usr/local/lib/R/site-library
lava	1.9.0	/usr/local/lib/R/site-library
LAVA	0.1.5	/usr/local/lib/R/site-library
lavaan	0.6-21	/usr/local/lib/R/site-library
lazyeval	0.2.3	/usr/local/lib/R/site-library
LDlinkR	1.4.0	/usr/local/lib/R/site-library
leidenbase	0.1.36	/usr/local/lib/R/site-library
lhs	1.2.1	/usr/local/lib/R/site-library
libcoin	1.0-12	/usr/local/lib/R/site-library
lifecycle	1.0.5	/usr/local/lib/R/site-library
limma	3.58.1	/usr/local/lib/R/site-library
limSolve	2.0.1	/usr/local/lib/R/site-library
listenv	0.10.1	/usr/local/lib/R/site-library
litedown	0.9	/usr/local/lib/R/site-library
lme4	2.0-1	/usr/local/lib/R/site-library
lmerTest	3.2-1	/usr/local/lib/R/site-library
lmtest	0.9-40	/usr/local/lib/R/site-library
locfdr	1.1-8	/usr/local/lib/R/site-library
locfit	1.5-9.12	/usr/local/lib/R/site-library
locuszoomr	0.3.8	/usr/local/lib/R/site-library
logger	0.4.1	/usr/local/lib/R/site-library
lpSolve	5.6.23	/usr/local/lib/R/site-library
lubridate	1.9.5	/usr/local/lib/R/site-library
lumi	2.54.0	/usr/local/lib/R/site-library
maftools	2.16.0	/usr/local/lib/R/site-library
magick	2.9.1	/usr/local/lib/R/site-library
magrittr	2.0.5	/usr/local/lib/R/site-library
mapproj	1.2.12	/usr/local/lib/R/site-library
maps	3.4.3	/usr/local/lib/R/site-library
markdown	2.0	/usr/local/lib/R/site-library
marray	1.80.0	/usr/local/lib/R/site-library
mathjaxr	2.0-0	/usr/local/lib/R/site-library
Matrix	1.6-5	/usr/local/lib/R/site-library
MatrixGenerics	1.14.0	/usr/local/lib/R/site-library
MatrixModels	0.5-4	/usr/local/lib/R/site-library
matrixsampling	2.0.0	/usr/local/lib/R/site-library
matrixStats	1.5.0	/usr/local/lib/R/site-library
maxLik	1.5-2.2	/usr/local/lib/R/site-library
maxstat	0.7-26	/usr/local/lib/R/site-library
mclust	6.1.2	/usr/local/lib/R/site-library
mcmc	0.9-8	/usr/local/lib/R/site-library
MCMCpack	1.7-1	/usr/local/lib/R/site-library
MCPcounter	1.2.0	/usr/local/lib/R/site-library
mediation	4.5.1	/usr/local/lib/R/site-library
